name,tag_type,source
LR Bande,place:neighbourhood,osm
JC Nagar,place:quarter,osm
Deverajivanahalli,place:quarter,osm
Kaval Byrasandra,place:suburb,osm
Postal and Telecom Colony,place:neighbourhood,osm
Kushal Nagar,place:neighbourhood,osm
Kadugondanahalli,place:quarter,osm
Anand Nagar,place:neighbourhood,osm
MEI Layout,place:neighbourhood,osm
Bagalagunte,place:quarter,osm
Nagamma Nagar,place:neighbourhood,osm
Shamana Nagar,place:neighbourhood,osm
RPC Layout,place:neighbourhood,osm
Cholourpalya,place:neighbourhood,osm
Guddadahalli,place:quarter,osm
Kempapura Agrahara,place:suburb,osm
K H Ranganath Colony,place:neighbourhood,osm
Jagajeevanram Nagara,place:quarter,osm
Indiranagar,place:neighbourhood,osm
Lakshmi Devi Nagar,place:neighbourhood,osm
Pottery Town,place:neighbourhood,osm
Langford Town,place:neighbourhood,osm
Kodichikkanahalli,place:neighbourhood,osm
Madhav Nagar,place:neighbourhood,osm
Kacharakanahalli,place:neighbourhood,osm
Kamalanagara,place:quarter,osm
Sharadhanagar,place:neighbourhood,osm
Ketamaranahalli,place:neighbourhood,osm
Rajajinagar 4th Block,place:neighbourhood,osm
Rajajinagar 2nd Block,place:neighbourhood,osm
JC Nagar,place:neighbourhood,osm
Saneguruvanahalli,place:neighbourhood,osm
Shivanahalli,place:neighbourhood,osm
Puttenahalli,place:neighbourhood,osm
Sudhama Nagara,place:neighbourhood,osm
Kempegowda Layout,place:neighbourhood,osm
Dubasi Palya,place:neighbourhood,osm
Trifecta Esplanade,place:locality,osm
Jahnavi Enclave,place:locality,osm
Rajiv Gandhi Nagar,place:neighbourhood,osm
Roopena Agrahara,place:neighbourhood,osm
Canara Bank Layout,place:neighbourhood,osm
Jooganahalli,place:neighbourhood,osm
Nagayana Palya,place:neighbourhood,osm
Sathyanagara,place:neighbourhood,osm
Gattigere Extension,place:neighbourhood,osm
Giridhama Layout,place:neighbourhood,osm
Aditya Layout,place:neighbourhood,osm
Marappa Layout,place:neighbourhood,osm
Javaranadoddi,place:neighbourhood,osm
Ideal Homes Layout,place:neighbourhood,osm
BEML Layout 3rd Stage,place:neighbourhood,osm
BEML Layout 5th Stage,place:neighbourhood,osm
Krishna Garden Layout,place:neighbourhood,osm
Concorde Layout,place:neighbourhood,osm
BHEL Layout,place:neighbourhood,osm
BEML Layout 7th Phase,place:neighbourhood,osm
Kodipalya,place:neighbourhood,osm
Halagevaderahalli,place:neighbourhood,osm
Nobo Nagar,place:neighbourhood,osm
Reflex Layout,place:neighbourhood,osm
"Banashankari 6th Stage, 11th Block",place:neighbourhood,osm
Arab Lines,place:neighbourhood,osm
KHB Colony,place:neighbourhood,osm
Langford Gardens,place:neighbourhood,osm
Akkithimmanahalli,place:neighbourhood,osm
Sindhi Colony,place:neighbourhood,osm
Cleveland Town,place:quarter,osm
Nrupatunga Nagar,place:neighbourhood,osm
Nagapura,place:neighbourhood,osm
Koramangala 8th Block,place:neighbourhood,osm
Koramangala 5th Block,place:neighbourhood,osm
Koramangala 6th Block,place:neighbourhood,osm
Koramangala 4th Block,place:neighbourhood,osm
Koramangala 3rd Block,place:neighbourhood,osm
Koramangala 1st Block,place:neighbourhood,osm
Rudrappa Garden,place:neighbourhood,osm
Anglo-Indian Quarters,place:neighbourhood,osm
SBI Colony,place:neighbourhood,osm
JCR Layout,place:neighbourhood,osm
Williams Town,place:neighbourhood,osm
Bilekahalli,place:quarter,osm
